x"0000", x"0064", x"00C9", x"012D", x"0192", x"01F6", x"025B", x"02BF"
x"63AF", x"63EE", x"642D", x"646B", x"64A9", x"64E7", x"6525", x"6562"
x"63EE", x"642D", x"646B", x"64A9", x"64E7", x"6525", x"6562", x"65A0"
x"642D", x"646B", x"64A9", x"64E7", x"6525", x"6562", x"65A0", x"65DD"
x"646B", x"64A9", x"64E7", x"6525", x"6562", x"65A0", x"65DD", x"6619"
x"64A9", x"64E7", x"6525", x"6562", x"65A0", x"65DD", x"6619", x"6656"
x"64E7", x"6525", x"6562", x"65A0", x"65DD", x"6619", x"6656", x"6692"
x"6525", x"6562", x"65A0", x"65DD", x"6619", x"6656", x"6692", x"66CE"
x"6562", x"65A0", x"65DD", x"6619", x"6656", x"6692", x"66CE", x"670A"
x"65A0", x"65DD", x"6619", x"6656", x"6692", x"66CE", x"670A", x"6745"
x"65DD", x"6619", x"6656", x"6692", x"66CE", x"670A", x"6745", x"6781"
x"6619", x"6656", x"6692", x"66CE", x"670A", x"6745", x"6781", x"67BC"
x"6656", x"6692", x"66CE", x"670A", x"6745", x"6781", x"67BC", x"67F7"
x"6692", x"66CE", x"670A", x"6745", x"6781", x"67BC", x"67F7", x"6831"
x"66CE", x"670A", x"6745", x"6781", x"67BC", x"67F7", x"6831", x"686B"
x"670A", x"6745", x"6781", x"67BC", x"67F7", x"6831", x"686B", x"68A5"
x"6745", x"6781", x"67BC", x"67F7", x"6831", x"686B", x"68A5", x"68DF"
x"6781", x"67BC", x"67F7", x"6831", x"686B", x"68A5", x"68DF", x"6919"
x"67BC", x"67F7", x"6831", x"686B", x"68A5", x"68DF", x"6919", x"6952"
x"67F7", x"6831", x"686B", x"68A5", x"68DF", x"6919", x"6952", x"698B"
x"6831", x"686B", x"68A5", x"68DF", x"6919", x"6952", x"698B", x"69C4"
x"686B", x"68A5", x"68DF", x"6919", x"6952", x"698B", x"69C4", x"69FC"
x"68A5", x"68DF", x"6919", x"6952", x"698B", x"69C4", x"69FC", x"6A34"
x"68DF", x"6919", x"6952", x"698B", x"69C4", x"69FC", x"6A34", x"6A6C"
x"6919", x"6952", x"698B", x"69C4", x"69FC", x"6A34", x"6A6C", x"6AA4"
x"6952", x"698B", x"69C4", x"69FC", x"6A34", x"6A6C", x"6AA4", x"6ADB"
x"698B", x"69C4", x"69FC", x"6A34", x"6A6C", x"6AA4", x"6ADB", x"6B13"
x"69C4", x"69FC", x"6A34", x"6A6C", x"6AA4", x"6ADB", x"6B13", x"6B4A"
x"69FC", x"6A34", x"6A6C", x"6AA4", x"6ADB", x"6B13", x"6B4A", x"6B80"
x"6A34", x"6A6C", x"6AA4", x"6ADB", x"6B13", x"6B4A", x"6B80", x"6BB7"
x"6A6C", x"6AA4", x"6ADB", x"6B13", x"6B4A", x"6B80", x"6BB7", x"6BED"
x"6AA4", x"6ADB", x"6B13", x"6B4A", x"6B80", x"6BB7", x"6BED", x"6C23"
x"6ADB", x"6B13", x"6B4A", x"6B80", x"6BB7", x"6BED", x"6C23", x"6C58"
x"6B13", x"6B4A", x"6B80", x"6BB7", x"6BED", x"6C23", x"6C58", x"6C8E"
x"6B4A", x"6B80", x"6BB7", x"6BED", x"6C23", x"6C58", x"6C8E", x"6CC3"
x"6B80", x"6BB7", x"6BED", x"6C23", x"6C58", x"6C8E", x"6CC3", x"6CF8"
x"6BB7", x"6BED", x"6C23", x"6C58", x"6C8E", x"6CC3", x"6CF8", x"6D2C"
x"6BED", x"6C23", x"6C58", x"6C8E", x"6CC3", x"6CF8", x"6D2C", x"6D61"
x"6C23", x"6C58", x"6C8E", x"6CC3", x"6CF8", x"6D2C", x"6D61", x"6D95"
x"6C58", x"6C8E", x"6CC3", x"6CF8", x"6D2C", x"6D61", x"6D95", x"6DC9"
x"6C8E", x"6CC3", x"6CF8", x"6D2C", x"6D61", x"6D95", x"6DC9", x"6DFC"
x"6CC3", x"6CF8", x"6D2C", x"6D61", x"6D95", x"6DC9", x"6DFC", x"6E30"
x"6CF8", x"6D2C", x"6D61", x"6D95", x"6DC9", x"6DFC", x"6E30", x"6E63"
x"6D2C", x"6D61", x"6D95", x"6DC9", x"6DFC", x"6E30", x"6E63", x"6E95"
x"6D61", x"6D95", x"6DC9", x"6DFC", x"6E30", x"6E63", x"6E95", x"6EC8"
x"6D95", x"6DC9", x"6DFC", x"6E30", x"6E63", x"6E95", x"6EC8", x"6EFA"
x"6DC9", x"6DFC", x"6E30", x"6E63", x"6E95", x"6EC8", x"6EFA", x"6F2C"
x"6DFC", x"6E30", x"6E63", x"6E95", x"6EC8", x"6EFA", x"6F2C", x"6F5E"
x"6E30", x"6E63", x"6E95", x"6EC8", x"6EFA", x"6F2C", x"6F5E", x"6F8F"
x"6E63", x"6E95", x"6EC8", x"6EFA", x"6F2C", x"6F5E", x"6F8F", x"6FC0"
x"6E95", x"6EC8", x"6EFA", x"6F2C", x"6F5E", x"6F8F", x"6FC0", x"6FF1"
x"6EC8", x"6EFA", x"6F2C", x"6F5E", x"6F8F", x"6FC0", x"6FF1", x"7022"
x"6EFA", x"6F2C", x"6F5E", x"6F8F", x"6FC0", x"6FF1", x"7022", x"7052"
x"6F2C", x"6F5E", x"6F8F", x"6FC0", x"6FF1", x"7022", x"7052", x"7082"
x"6F5E", x"6F8F", x"6FC0", x"6FF1", x"7022", x"7052", x"7082", x"70B2"
x"6F8F", x"6FC0", x"6FF1", x"7022", x"7052", x"7082", x"70B2", x"70E1"
x"6FC0", x"6FF1", x"7022", x"7052", x"7082", x"70B2", x"70E1", x"7111"
x"6FF1", x"7022", x"7052", x"7082", x"70B2", x"70E1", x"7111", x"7140"
x"7022", x"7052", x"7082", x"70B2", x"70E1", x"7111", x"7140", x"716E"
x"7052", x"7082", x"70B2", x"70E1", x"7111", x"7140", x"716E", x"719D"
x"7082", x"70B2", x"70E1", x"7111", x"7140", x"716E", x"719D", x"71CB"
x"70B2", x"70E1", x"7111", x"7140", x"716E", x"719D", x"71CB", x"71F9"
x"70E1", x"7111", x"7140", x"716E", x"719D", x"71CB", x"71F9", x"7226"
x"7111", x"7140", x"716E", x"719D", x"71CB", x"71F9", x"7226", x"7254"
x"7140", x"716E", x"719D", x"71CB", x"71F9", x"7226", x"7254", x"7281"
x"716E", x"719D", x"71CB", x"71F9", x"7226", x"7254", x"7281", x"72AE"
x"719D", x"71CB", x"71F9", x"7226", x"7254", x"7281", x"72AE", x"72DA"
x"71CB", x"71F9", x"7226", x"7254", x"7281", x"72AE", x"72DA", x"7306"
x"71F9", x"7226", x"7254", x"7281", x"72AE", x"72DA", x"7306", x"7332"
x"7226", x"7254", x"7281", x"72AE", x"72DA", x"7306", x"7332", x"735E"
x"7254", x"7281", x"72AE", x"72DA", x"7306", x"7332", x"735E", x"7389"
x"7281", x"72AE", x"72DA", x"7306", x"7332", x"735E", x"7389", x"73B5"
x"72AE", x"72DA", x"7306", x"7332", x"735E", x"7389", x"73B5", x"73DF"
x"72DA", x"7306", x"7332", x"735E", x"7389", x"73B5", x"73DF", x"740A"
x"7306", x"7332", x"735E", x"7389", x"73B5", x"73DF", x"740A", x"7434"
x"7332", x"735E", x"7389", x"73B5", x"73DF", x"740A", x"7434", x"745E"
x"735E", x"7389", x"73B5", x"73DF", x"740A", x"7434", x"745E", x"7488"
x"7389", x"73B5", x"73DF", x"740A", x"7434", x"745E", x"7488", x"74B1"
x"73B5", x"73DF", x"740A", x"7434", x"745E", x"7488", x"74B1", x"74DB"
x"73DF", x"740A", x"7434", x"745E", x"7488", x"74B1", x"74DB", x"7503"
x"740A", x"7434", x"745E", x"7488", x"74B1", x"74DB", x"7503", x"752C"
x"7434", x"745E", x"7488", x"74B1", x"74DB", x"7503", x"752C", x"7554"
x"745E", x"7488", x"74B1", x"74DB", x"7503", x"752C", x"7554", x"757C"
x"7488", x"74B1", x"74DB", x"7503", x"752C", x"7554", x"757C", x"75A4"
x"74B1", x"74DB", x"7503", x"752C", x"7554", x"757C", x"75A4", x"75CC"
x"74DB", x"7503", x"752C", x"7554", x"757C", x"75A4", x"75CC", x"75F3"
x"7503", x"752C", x"7554", x"757C", x"75A4", x"75CC", x"75F3", x"761A"
x"752C", x"7554", x"757C", x"75A4", x"75CC", x"75F3", x"761A", x"7640"
x"7554", x"757C", x"75A4", x"75CC", x"75F3", x"761A", x"7640", x"7667"
x"757C", x"75A4", x"75CC", x"75F3", x"761A", x"7640", x"7667", x"768D"
x"75A4", x"75CC", x"75F3", x"761A", x"7640", x"7667", x"768D", x"76B2"
x"75CC", x"75F3", x"761A", x"7640", x"7667", x"768D", x"76B2", x"76D8"
x"75F3", x"761A", x"7640", x"7667", x"768D", x"76B2", x"76D8", x"76FD"
x"761A", x"7640", x"7667", x"768D", x"76B2", x"76D8", x"76FD", x"7722"
x"7640", x"7667", x"768D", x"76B2", x"76D8", x"76FD", x"7722", x"7747"
x"7667", x"768D", x"76B2", x"76D8", x"76FD", x"7722", x"7747", x"776B"
x"768D", x"76B2", x"76D8", x"76FD", x"7722", x"7747", x"776B", x"778F"
x"76B2", x"76D8", x"76FD", x"7722", x"7747", x"776B", x"778F", x"77B3"
x"76D8", x"76FD", x"7722", x"7747", x"776B", x"778F", x"77B3", x"77D6"
x"76FD", x"7722", x"7747", x"776B", x"778F", x"77B3", x"77D6", x"77F9"
x"7722", x"7747", x"776B", x"778F", x"77B3", x"77D6", x"77F9", x"781C"
x"7747", x"776B", x"778F", x"77B3", x"77D6", x"77F9", x"781C", x"783F"
x"776B", x"778F", x"77B3", x"77D6", x"77F9", x"781C", x"783F", x"7861"
x"778F", x"77B3", x"77D6", x"77F9", x"781C", x"783F", x"7861", x"7883"
x"77B3", x"77D6", x"77F9", x"781C", x"783F", x"7861", x"7883", x"78A5"
x"77D6", x"77F9", x"781C", x"783F", x"7861", x"7883", x"78A5", x"78C6"
x"77F9", x"781C", x"783F", x"7861", x"7883", x"78A5", x"78C6", x"78E7"
x"781C", x"783F", x"7861", x"7883", x"78A5", x"78C6", x"78E7", x"7908"
x"783F", x"7861", x"7883", x"78A5", x"78C6", x"78E7", x"7908", x"7929"
x"7861", x"7883", x"78A5", x"78C6", x"78E7", x"7908", x"7929", x"7949"
x"7883", x"78A5", x"78C6", x"78E7", x"7908", x"7929", x"7949", x"7969"
x"78A5", x"78C6", x"78E7", x"7908", x"7929", x"7949", x"7969", x"7989"
x"78C6", x"78E7", x"7908", x"7929", x"7949", x"7969", x"7989", x"79A8"
x"78E7", x"7908", x"7929", x"7949", x"7969", x"7989", x"79A8", x"79C7"
x"7908", x"7929", x"7949", x"7969", x"7989", x"79A8", x"79C7", x"79E6"
x"7929", x"7949", x"7969", x"7989", x"79A8", x"79C7", x"79E6", x"7A04"
x"7949", x"7969", x"7989", x"79A8", x"79C7", x"79E6", x"7A04", x"7A23"
x"7969", x"7989", x"79A8", x"79C7", x"79E6", x"7A04", x"7A23", x"7A41"
x"7989", x"79A8", x"79C7", x"79E6", x"7A04", x"7A23", x"7A41", x"7A5E"
x"79A8", x"79C7", x"79E6", x"7A04", x"7A23", x"7A41", x"7A5E", x"7A7C"
x"79C7", x"79E6", x"7A04", x"7A23", x"7A41", x"7A5E", x"7A7C", x"7A99"
x"79E6", x"7A04", x"7A23", x"7A41", x"7A5E", x"7A7C", x"7A99", x"7AB5"
x"7A04", x"7A23", x"7A41", x"7A5E", x"7A7C", x"7A99", x"7AB5", x"7AD2"
x"7A23", x"7A41", x"7A5E", x"7A7C", x"7A99", x"7AB5", x"7AD2", x"7AEE"
x"7A41", x"7A5E", x"7A7C", x"7A99", x"7AB5", x"7AD2", x"7AEE", x"7B0A"
x"7A5E", x"7A7C", x"7A99", x"7AB5", x"7AD2", x"7AEE", x"7B0A", x"7B25"
x"7A7C", x"7A99", x"7AB5", x"7AD2", x"7AEE", x"7B0A", x"7B25", x"7B41"
x"7A99", x"7AB5", x"7AD2", x"7AEE", x"7B0A", x"7B25", x"7B41", x"7B5C"
x"7AB5", x"7AD2", x"7AEE", x"7B0A", x"7B25", x"7B41", x"7B5C", x"7B76"
x"7AD2", x"7AEE", x"7B0A", x"7B25", x"7B41", x"7B5C", x"7B76", x"7B91"
x"7AEE", x"7B0A", x"7B25", x"7B41", x"7B5C", x"7B76", x"7B91", x"7BAB"
x"7B0A", x"7B25", x"7B41", x"7B5C", x"7B76", x"7B91", x"7BAB", x"7BC4"
x"7B25", x"7B41", x"7B5C", x"7B76", x"7B91", x"7BAB", x"7BC4", x"7BDE"
x"7B41", x"7B5C", x"7B76", x"7B91", x"7BAB", x"7BC4", x"7BDE", x"7BF7"
x"7B5C", x"7B76", x"7B91", x"7BAB", x"7BC4", x"7BDE", x"7BF7", x"7C10"
x"7B76", x"7B91", x"7BAB", x"7BC4", x"7BDE", x"7BF7", x"7C10", x"7C29"
x"7B91", x"7BAB", x"7BC4", x"7BDE", x"7BF7", x"7C10", x"7C29", x"7C41"
x"7BAB", x"7BC4", x"7BDE", x"7BF7", x"7C10", x"7C29", x"7C41", x"7C59"
x"7BC4", x"7BDE", x"7BF7", x"7C10", x"7C29", x"7C41", x"7C59", x"7C70"
x"7BDE", x"7BF7", x"7C10", x"7C29", x"7C41", x"7C59", x"7C70", x"7C88"
x"7BF7", x"7C10", x"7C29", x"7C41", x"7C59", x"7C70", x"7C88", x"7C9F"
x"7C10", x"7C29", x"7C41", x"7C59", x"7C70", x"7C88", x"7C9F", x"7CB6"
x"7C29", x"7C41", x"7C59", x"7C70", x"7C88", x"7C9F", x"7CB6", x"7CCC"
x"7C41", x"7C59", x"7C70", x"7C88", x"7C9F", x"7CB6", x"7CCC", x"7CE2"
x"7C59", x"7C70", x"7C88", x"7C9F", x"7CB6", x"7CCC", x"7CE2", x"7CF8"
x"7C70", x"7C88", x"7C9F", x"7CB6", x"7CCC", x"7CE2", x"7CF8", x"7D0E"
x"7C88", x"7C9F", x"7CB6", x"7CCC", x"7CE2", x"7CF8", x"7D0E", x"7D23"
x"7C9F", x"7CB6", x"7CCC", x"7CE2", x"7CF8", x"7D0E", x"7D23", x"7D38"
x"7CB6", x"7CCC", x"7CE2", x"7CF8", x"7D0E", x"7D23", x"7D38", x"7D4D"
x"7CCC", x"7CE2", x"7CF8", x"7D0E", x"7D23", x"7D38", x"7D4D", x"7D61"
x"7CE2", x"7CF8", x"7D0E", x"7D23", x"7D38", x"7D4D", x"7D61", x"7D75"
x"7CF8", x"7D0E", x"7D23", x"7D38", x"7D4D", x"7D61", x"7D75", x"7D89"
x"7D0E", x"7D23", x"7D38", x"7D4D", x"7D61", x"7D75", x"7D89", x"7D9C"
x"7D23", x"7D38", x"7D4D", x"7D61", x"7D75", x"7D89", x"7D9C", x"7DB0"
x"7D38", x"7D4D", x"7D61", x"7D75", x"7D89", x"7D9C", x"7DB0", x"7DC2"
x"7D4D", x"7D61", x"7D75", x"7D89", x"7D9C", x"7DB0", x"7DC2", x"7DD5"
x"7D61", x"7D75", x"7D89", x"7D9C", x"7DB0", x"7DC2", x"7DD5", x"7DE7"
x"7D75", x"7D89", x"7D9C", x"7DB0", x"7DC2", x"7DD5", x"7DE7", x"7DF9"
x"7D89", x"7D9C", x"7DB0", x"7DC2", x"7DD5", x"7DE7", x"7DF9", x"7E0B"
x"7D9C", x"7DB0", x"7DC2", x"7DD5", x"7DE7", x"7DF9", x"7E0B", x"7E1C"
x"7DB0", x"7DC2", x"7DD5", x"7DE7", x"7DF9", x"7E0B", x"7E1C", x"7E2D"
x"7DC2", x"7DD5", x"7DE7", x"7DF9", x"7E0B", x"7E1C", x"7E2D", x"7E3E"
x"7DD5", x"7DE7", x"7DF9", x"7E0B", x"7E1C", x"7E2D", x"7E3E", x"7E4E"
x"7DE7", x"7DF9", x"7E0B", x"7E1C", x"7E2D", x"7E3E", x"7E4E", x"7E5E"
x"7DF9", x"7E0B", x"7E1C", x"7E2D", x"7E3E", x"7E4E", x"7E5E", x"7E6E"
x"7E0B", x"7E1C", x"7E2D", x"7E3E", x"7E4E", x"7E5E", x"7E6E", x"7E7E"
x"7E1C", x"7E2D", x"7E3E", x"7E4E", x"7E5E", x"7E6E", x"7E7E", x"7E8D"
x"7E2D", x"7E3E", x"7E4E", x"7E5E", x"7E6E", x"7E7E", x"7E8D", x"7E9C"
x"7E3E", x"7E4E", x"7E5E", x"7E6E", x"7E7E", x"7E8D", x"7E9C", x"7EAA"
x"7E4E", x"7E5E", x"7E6E", x"7E7E", x"7E8D", x"7E9C", x"7EAA", x"7EB9"
x"7E5E", x"7E6E", x"7E7E", x"7E8D", x"7E9C", x"7EAA", x"7EB9", x"7EC7"
x"7E6E", x"7E7E", x"7E8D", x"7E9C", x"7EAA", x"7EB9", x"7EC7", x"7ED4"
x"7E7E", x"7E8D", x"7E9C", x"7EAA", x"7EB9", x"7EC7", x"7ED4", x"7EE2"
x"7E8D", x"7E9C", x"7EAA", x"7EB9", x"7EC7", x"7ED4", x"7EE2", x"7EEF"
x"7E9C", x"7EAA", x"7EB9", x"7EC7", x"7ED4", x"7EE2", x"7EEF", x"7EFC"
x"7EAA", x"7EB9", x"7EC7", x"7ED4", x"7EE2", x"7EEF", x"7EFC", x"7F08"
x"7EB9", x"7EC7", x"7ED4", x"7EE2", x"7EEF", x"7EFC", x"7F08", x"7F14"
x"7EC7", x"7ED4", x"7EE2", x"7EEF", x"7EFC", x"7F08", x"7F14", x"7F20"
x"7ED4", x"7EE2", x"7EEF", x"7EFC", x"7F08", x"7F14", x"7F20", x"7F2C"
x"7EE2", x"7EEF", x"7EFC", x"7F08", x"7F14", x"7F20", x"7F2C", x"7F37"
x"7EEF", x"7EFC", x"7F08", x"7F14", x"7F20", x"7F2C", x"7F37", x"7F42"
x"7EFC", x"7F08", x"7F14", x"7F20", x"7F2C", x"7F37", x"7F42", x"7F4C"
x"7F08", x"7F14", x"7F20", x"7F2C", x"7F37", x"7F42", x"7F4C", x"7F57"
x"7F14", x"7F20", x"7F2C", x"7F37", x"7F42", x"7F4C", x"7F57", x"7F61"
x"7F20", x"7F2C", x"7F37", x"7F42", x"7F4C", x"7F57", x"7F61", x"7F6A"
x"7F2C", x"7F37", x"7F42", x"7F4C", x"7F57", x"7F61", x"7F6A", x"7F74"
x"7F37", x"7F42", x"7F4C", x"7F57", x"7F61", x"7F6A", x"7F74", x"7F7D"
x"7F42", x"7F4C", x"7F57", x"7F61", x"7F6A", x"7F74", x"7F7D", x"7F86"
x"7F4C", x"7F57", x"7F61", x"7F6A", x"7F74", x"7F7D", x"7F86", x"7F8E"
x"7F57", x"7F61", x"7F6A", x"7F74", x"7F7D", x"7F86", x"7F8E", x"7F96"
x"7F61", x"7F6A", x"7F74", x"7F7D", x"7F86", x"7F8E", x"7F96", x"7F9E"
x"7F6A", x"7F74", x"7F7D", x"7F86", x"7F8E", x"7F96", x"7F9E", x"7FA6"
x"7F74", x"7F7D", x"7F86", x"7F8E", x"7F96", x"7F9E", x"7FA6", x"7FAD"
x"7F7D", x"7F86", x"7F8E", x"7F96", x"7F9E", x"7FA6", x"7FAD", x"7FB4"
x"7F86", x"7F8E", x"7F96", x"7F9E", x"7FA6", x"7FAD", x"7FB4", x"7FBB"
x"7F8E", x"7F96", x"7F9E", x"7FA6", x"7FAD", x"7FB4", x"7FBB", x"7FC1"
x"7F96", x"7F9E", x"7FA6", x"7FAD", x"7FB4", x"7FBB", x"7FC1", x"7FC7"
x"7F9E", x"7FA6", x"7FAD", x"7FB4", x"7FBB", x"7FC1", x"7FC7", x"7FCD"
x"7FA6", x"7FAD", x"7FB4", x"7FBB", x"7FC1", x"7FC7", x"7FCD", x"7FD2"
x"7FAD", x"7FB4", x"7FBB", x"7FC1", x"7FC7", x"7FCD", x"7FD2", x"7FD7"
x"7FB4", x"7FBB", x"7FC1", x"7FC7", x"7FCD", x"7FD2", x"7FD7", x"7FDC"
x"7FBB", x"7FC1", x"7FC7", x"7FCD", x"7FD2", x"7FD7", x"7FDC", x"7FE0"
x"7FC1", x"7FC7", x"7FCD", x"7FD2", x"7FD7", x"7FDC", x"7FE0", x"7FE4"
x"7FC7", x"7FCD", x"7FD2", x"7FD7", x"7FDC", x"7FE0", x"7FE4", x"7FE8"
x"7FCD", x"7FD2", x"7FD7", x"7FDC", x"7FE0", x"7FE4", x"7FE8", x"7FEC"
x"7FD2", x"7FD7", x"7FDC", x"7FE0", x"7FE4", x"7FE8", x"7FEC", x"7FEF"
x"7FD7", x"7FDC", x"7FE0", x"7FE4", x"7FE8", x"7FEC", x"7FEF", x"7FF2"
x"7FDC", x"7FE0", x"7FE4", x"7FE8", x"7FEC", x"7FEF", x"7FF2", x"7FF5"
x"7FE0", x"7FE4", x"7FE8", x"7FEC", x"7FEF", x"7FF2", x"7FF5", x"7FF7"
x"7FE4", x"7FE8", x"7FEC", x"7FEF", x"7FF2", x"7FF5", x"7FF7", x"7FF9"
x"7FE8", x"7FEC", x"7FEF", x"7FF2", x"7FF5", x"7FF7", x"7FF9", x"7FFB"
x"7FEC", x"7FEF", x"7FF2", x"7FF5", x"7FF7", x"7FF9", x"7FFB", x"7FFC"
x"7FEF", x"7FF2", x"7FF5", x"7FF7", x"7FF9", x"7FFB", x"7FFC", x"7FFD"
x"7FF2", x"7FF5", x"7FF7", x"7FF9", x"7FFB", x"7FFC", x"7FFD", x"7FFE"
x"7FF5", x"7FF7", x"7FF9", x"7FFB", x"7FFC", x"7FFD", x"7FFE", x"7FFE"
x"7FF7", x"7FF9", x"7FFB", x"7FFC", x"7FFD", x"7FFE", x"7FFE", x"7FFF"
x"7FF9", x"7FFB", x"7FFC", x"7FFD", x"7FFE", x"7FFE", x"7FFF", x"7FFE"
x"7FFB", x"7FFC", x"7FFD", x"7FFE", x"7FFE", x"7FFF", x"7FFE", x"7FFE"
x"7FFC", x"7FFD", x"7FFE", x"7FFE", x"7FFF", x"7FFE", x"7FFE", x"7FFD"
x"7FFD", x"7FFE", x"7FFE", x"7FFF", x"7FFE", x"7FFE", x"7FFD", x"7FFC"
x"7FFE", x"7FFE", x"7FFF", x"7FFE", x"7FFE", x"7FFD", x"7FFC", x"7FFB"
x"7FFE", x"7FFF", x"7FFE", x"7FFE", x"7FFD", x"7FFC", x"7FFB", x"7FF9"
x"7FFF", x"7FFE", x"7FFE", x"7FFD", x"7FFC", x"7FFB", x"7FF9", x"7FF7"
x"7FFE", x"7FFE", x"7FFD", x"7FFC", x"7FFB", x"7FF9", x"7FF7", x"7FF5"
x"7FFE", x"7FFD", x"7FFC", x"7FFB", x"7FF9", x"7FF7", x"7FF5", x"7FF2"
x"7FFD", x"7FFC", x"7FFB", x"7FF9", x"7FF7", x"7FF5", x"7FF2", x"7FEF"
x"7FFC", x"7FFB", x"7FF9", x"7FF7", x"7FF5", x"7FF2", x"7FEF", x"7FEC"
x"7FFB", x"7FF9", x"7FF7", x"7FF5", x"7FF2", x"7FEF", x"7FEC", x"7FE8"
x"7FF9", x"7FF7", x"7FF5", x"7FF2", x"7FEF", x"7FEC", x"7FE8", x"7FE4"
x"7FF7", x"7FF5", x"7FF2", x"7FEF", x"7FEC", x"7FE8", x"7FE4", x"7FE0"
x"7FF5", x"7FF2", x"7FEF", x"7FEC", x"7FE8", x"7FE4", x"7FE0", x"7FDC"
x"7FF2", x"7FEF", x"7FEC", x"7FE8", x"7FE4", x"7FE0", x"7FDC", x"7FD7"
x"7FEF", x"7FEC", x"7FE8", x"7FE4", x"7FE0", x"7FDC", x"7FD7", x"7FD2"
x"7FEC", x"7FE8", x"7FE4", x"7FE0", x"7FDC", x"7FD7", x"7FD2", x"7FCD"
x"7FE8", x"7FE4", x"7FE0", x"7FDC", x"7FD7", x"7FD2", x"7FCD", x"7FC7"
x"7FE4", x"7FE0", x"7FDC", x"7FD7", x"7FD2", x"7FCD", x"7FC7", x"7FC1"
x"7FE0", x"7FDC", x"7FD7", x"7FD2", x"7FCD", x"7FC7", x"7FC1", x"7FBB"
x"7FDC", x"7FD7", x"7FD2", x"7FCD", x"7FC7", x"7FC1", x"7FBB", x"7FB4"
x"7FD7", x"7FD2", x"7FCD", x"7FC7", x"7FC1", x"7FBB", x"7FB4", x"7FAD"
x"7FD2", x"7FCD", x"7FC7", x"7FC1", x"7FBB", x"7FB4", x"7FAD", x"7FA6"
x"7FCD", x"7FC7", x"7FC1", x"7FBB", x"7FB4", x"7FAD", x"7FA6", x"7F9E"
x"7FC7", x"7FC1", x"7FBB", x"7FB4", x"7FAD", x"7FA6", x"7F9E", x"7F96"
x"7FC1", x"7FBB", x"7FB4", x"7FAD", x"7FA6", x"7F9E", x"7F96", x"7F8E"
x"7FBB", x"7FB4", x"7FAD", x"7FA6", x"7F9E", x"7F96", x"7F8E", x"7F86"
x"7FB4", x"7FAD", x"7FA6", x"7F9E", x"7F96", x"7F8E", x"7F86", x"7F7D"
x"7FAD", x"7FA6", x"7F9E", x"7F96", x"7F8E", x"7F86", x"7F7D", x"7F74"
x"7FA6", x"7F9E", x"7F96", x"7F8E", x"7F86", x"7F7D", x"7F74", x"7F6A"
x"7F9E", x"7F96", x"7F8E", x"7F86", x"7F7D", x"7F74", x"7F6A", x"7F61"
x"7F96", x"7F8E", x"7F86", x"7F7D", x"7F74", x"7F6A", x"7F61", x"7F57"
x"7F8E", x"7F86", x"7F7D", x"7F74", x"7F6A", x"7F61", x"7F57", x"7F4C"
x"7F86", x"7F7D", x"7F74", x"7F6A", x"7F61", x"7F57", x"7F4C", x"7F42"
x"7F7D", x"7F74", x"7F6A", x"7F61", x"7F57", x"7F4C", x"7F42", x"7F37"
x"7F74", x"7F6A", x"7F61", x"7F57", x"7F4C", x"7F42", x"7F37", x"7F2C"
x"7F6A", x"7F61", x"7F57", x"7F4C", x"7F42", x"7F37", x"7F2C", x"7F20"
x"7F61", x"7F57", x"7F4C", x"7F42", x"7F37", x"7F2C", x"7F20", x"7F14"
x"7F57", x"7F4C", x"7F42", x"7F37", x"7F2C", x"7F20", x"7F14", x"7F08"
x"7F4C", x"7F42", x"7F37", x"7F2C", x"7F20", x"7F14", x"7F08", x"7EFC"
x"7F42", x"7F37", x"7F2C", x"7F20", x"7F14", x"7F08", x"7EFC", x"7EEF"
x"7F37", x"7F2C", x"7F20", x"7F14", x"7F08", x"7EFC", x"7EEF", x"7EE2"
x"7F2C", x"7F20", x"7F14", x"7F08", x"7EFC", x"7EEF", x"7EE2", x"7ED4"
x"7F20", x"7F14", x"7F08", x"7EFC", x"7EEF", x"7EE2", x"7ED4", x"7EC7"
x"7F14", x"7F08", x"7EFC", x"7EEF", x"7EE2", x"7ED4", x"7EC7", x"7EB9"
x"7F08", x"7EFC", x"7EEF", x"7EE2", x"7ED4", x"7EC7", x"7EB9", x"7EAA"
x"7EFC", x"7EEF", x"7EE2", x"7ED4", x"7EC7", x"7EB9", x"7EAA", x"7E9C"
x"7EEF", x"7EE2", x"7ED4", x"7EC7", x"7EB9", x"7EAA", x"7E9C", x"7E8D"
x"7EE2", x"7ED4", x"7EC7", x"7EB9", x"7EAA", x"7E9C", x"7E8D", x"7E7E"
x"7ED4", x"7EC7", x"7EB9", x"7EAA", x"7E9C", x"7E8D", x"7E7E", x"7E6E"
x"7EC7", x"7EB9", x"7EAA", x"7E9C", x"7E8D", x"7E7E", x"7E6E", x"7E5E"
x"7EB9", x"7EAA", x"7E9C", x"7E8D", x"7E7E", x"7E6E", x"7E5E", x"7E4E"
x"7EAA", x"7E9C", x"7E8D", x"7E7E", x"7E6E", x"7E5E", x"7E4E", x"7E3E"
x"7E9C", x"7E8D", x"7E7E", x"7E6E", x"7E5E", x"7E4E", x"7E3E", x"7E2D"
x"7E8D", x"7E7E", x"7E6E", x"7E5E", x"7E4E", x"7E3E", x"7E2D", x"7E1C"
